geography_type_norm,geography_id,county_name,geography_desc_full,total_units,speed_25_3,speed_100_20,speed_1000_100,pct_broadband_25mbps,pct_broadband_100mbps,county_fips,math_score_avg,reading_score_avg,total_students,n_districts,broadband_category
county,01001,Autauga County,"Autauga County, AL",28718,1.0,1.0,0.553973118,100.0,100.0,01001,0.012808044417248,0.0124666143299755,98676.0,1.0,High-Speed
county,01003,Baldwin County,"Baldwin County, AL",149113,1.0,0.999979881,0.557852099,100.0,99.9979881,01003,-0.0044623620776612,-0.0046488923099746,301674.0,1.0,High-Speed
county,01005,Barbour County,"Barbour County, AL",15429,1.0,1.0,0.496208439,100.0,100.0,01005,-0.6192149666546775,-0.6184857324220224,38997.0,1.0,High-Speed
county,01011,Bullock County,"Bullock County, AL",5863,1.0,1.0,0.922394678,100.0,100.0,01011,-0.8865594495215932,-0.8846689093497582,14649.0,1.0,High-Speed
county,01013,Butler County,"Butler County, AL",12894,1.0,1.0,0.505196215,100.0,100.0,01013,-0.5406663562015582,-0.5396396519928115,31745.0,1.0,High-Speed
county,01015,Calhoun County,"Calhoun County, AL",64072,1.0,1.0,0.386299788,100.0,100.0,01015,-0.1826734623224747,-0.1826434139777425,177716.0,1.0,High-Speed
county,01017,Chambers County,"Chambers County, AL",19601,1.0,1.0,0.176827713,100.0,100.0,01017,-0.548676471340071,-0.548104245872649,46673.0,1.0,High-Speed
county,01019,Cherokee County,"Cherokee County, AL",19131,1.0,0.999947729,0.20192358,100.0,99.9947729,01019,-0.2610039142094332,-0.2607430039047942,40923.0,1.0,High-Speed
county,01021,Chilton County,"Chilton County, AL",24153,1.0,1.0,0.747484784,100.0,100.0,01021,-0.3173709737969176,-0.317237966545913,79048.0,1.0,High-Speed
county,01023,Choctaw County,"Choctaw County, AL",9560,1.0,1.0,0.071548117,100.0,100.0,01023,-0.6218596373607103,-0.6204047807195114,15944.0,1.0,High-Speed
county,01025,Clarke County,"Clarke County, AL",14739,1.0,1.0,0.043286519,100.0,100.0,01025,-0.440263247655406,-0.4399812017366946,43043.0,1.0,High-Speed
county,01027,Clay County,"Clay County, AL",8360,1.0,1.0,0.41423445,100.0,100.0,01027,-0.364808490321765,-0.3644466973374281,20524.0,1.0,High-Speed
county,01029,Cleburne County,"Cleburne County, AL",8384,1.0,1.0,0.177480916,100.0,100.0,01029,-0.09391395234063359,-0.0942035958335917,26019.0,1.0,High-Speed
county,01031,Coffee County,"Coffee County, AL",29433,1.0,1.0,0.925355893,100.0,100.0,01031,-0.0133534157659399,-0.013617270233412897,94933.0,1.0,High-Speed
county,01033,Colbert County,"Colbert County, AL",33109,1.0,1.0,0.469419191,100.0,100.0,01033,-0.12251688275458879,-0.1226255699327586,80441.0,1.0,High-Speed
